circRNA Name,Disease Name,Species,miRNA validated,miRNA predicted,miRNA target,RBP validated
circMAN1A2,Ovarian cancer,Human,,hsa-miR-135a-3p.,"SLC4A8, IKZF4, SMAGP, SP1, ERBB3, CBX5",
circMAN1A2,Lung cancer,Human,,hsa-miR-135a-3p.,"SLC4A8, IKZF4, SMAGP, SP1, ERBB3, CBX5",
hsa_circ_0100129,Cervical cancer,Human,miR-433,,EGFR,
cZNF292,Liver cancer,Human,,,,SOX9
hsa_circ_0067301,Endometriosis,Human,miR-141–5p,,Notch-1,
circ_0062491,Periodontitis,Human,miR-584,,,
circ_0095812,Glioma,Human,miR-1236,,,
hsa_circ_0067512,Lung adenocarcinoma,Human,miR-567,,PTPRG,
hsa_circ_0074854,Hepatocellular carcinoma,Human,miR-338-3p,,PKM2,
hsa_circ_0002453,Triple negative breast cancer,Human,"miR-208a, miR-3164",,"IGF1, FGF2",
hsa_circ_0004370,Esophageal cancer,Human,miR-1294,,LASP1,
hsa_circ_0002024,Bladder cancer,Human,miR-197-3p,,hsa_circ_0002024,
circCDYL,Bladder cancer,Human,,,,C-MYC
hsa_circ_0001806,Ovarian cancer,Human,miR-1236-3p,,ZEB1,"MMP-2, VEGFA"
hsa_circ_0006804,Influenza A virus infection,Human,,,,H1N1
hsa_circ_0032627,Gastric cancer,Human,miR-502-5p,,NRAS,
hsa_circ_0051240,Ovarian cancer,Human,miR-637,,KLK4,
circCEP128,Bladder cancer,Human,miR-145-5p,,MYD88,
hsa_circ_0034642,Glioma,Human,miR-1205,,BATF3,
hsa_circ_0003288,Hepatocellular carcinoma,Human,miR-3918,,Bcl2,
hsa_circ_0001821,Colorectal cancer,Human,miR-145,,,
circEPSTI1,Ovarian cancer,Human,miR-942,,EPSTI1,
hsa_circ_0001946,Breast cancer,Human,miR-7,,CCNE1,
hsa_circ_0000005,Glioma,Human,miR-138-5p,,SOX13,"SPON2, FUS"
hsa_circ_0092303,Gastric cancer,Human,miR-331-3p,,TGFBR1,
hsa_circ_0001801,Glioma,Human,miR-224-5p,,,
circ_SLC30A7,Oral squamous cell carcinoma,Human,miR-378a,,GLUT1,
hsa_circ_0076704,Bladder cancer,Human,,miR-214,,
hsa_circ_0058514,Non-small cell lung cancer,Human,miR-203,,ZNF281,
hsa_circ_0014130,Non-small cell lung cancer,Human,miR-600,,HIF-1α,
SCD-circRNA 2,Hepatocellular carcinoma,Human,,,,RBM3
hsa_circ_0016624,Osteoporosis,Human,miR-98,,BMP2,
hsa_circ_0000284,Non-small cell lung cancer,Human,miR-124-3p,,STAT3,
hsa_circ_0006168,Esophageal squamous cell carcinoma,Human,miR-100,,mTOR,
hsa_circ_0000994,Bladder cancer,Human,"miR-130b, miR-494",,PTEN,
hsa_circ_0009109,Gastric cancer,Human,"miR-1231, miR-1256",,,
hsa_circRNA_104268,Hepatocellular carcinoma,Human,hsa-miR-214-3p,,E2F2,
hsa_circRNA_104168,Hepatocellular carcinoma,Human,hsa-miR-139-5p,,HRAS,
hsa_circRNA_104769,Hepatocellular carcinoma,Human,hsa-miR-93-5p,,JUN,
hsa_circ_009755,Oral squamous cell carcinoma,Human,,"has-miR-585-5p, has-miR-29a-5p, has-miR-6079",,
hsa_circ_0089172,Hashimoto's thyroiditis,Human,miR-125a-3p,,,
hsa_circ_0091570,Hepatocellular carcinoma,Human,"miR-1307, hsa-miR-1307",,ISM1,
hsa_circ_0070401,Oral squamous cell carcinoma,Human,miR-204-3p,,APC2,
hsa_circ_0004846,Osteosarcoma,Human,miR-1244,,MDM2,
hsa_circ_0008365,Gastric carcinoma,Human,miR-375,,YWHAZ,
hsa_circ_0000592,Gastric carcinoma,Human,,"miR-139-3p, miR-200, miR-367-3p, miR-33a-3p",,
hsa_circ_0035563,Parathyroid carcinoma,Human,,,,CDC73
hsa_circ_0072309,Intracranial aneurysm,Human,,"hsa-miR-519e-5p, hsa-miR-516b-5p","DDR2, SAT2",
hsa_circ_0008433,Intracranial aneurysm,Human,,"hsa-miR-181c-5p, hsa-miR-181b-5p",MMP2,
hsa_circ_0008433,Intracranial aneurysm,Human,,"hsa-miR-181c-5p, hsa-miR-181b-5p",MMP2,
hsa_circ_0033144,Intracranial aneurysm,Human,,"hsa-miR-588, hsa-miR-193a-3p, hsa-miR-361-3p, hsa-miR-125a-3p, hsa-miR-516a-3p",,
hsa_circ_0033144,Intracranial aneurysm,Human,,"hsa-miR-588, hsa-miR-193a-3p, hsa-miR-361-3p, hsa-miR-125a-3p, hsa-miR-516a-3p",,
hsa_circ_0005571,Intracranial aneurysm,Human,,"hsa-miR-371a-5p, hsa-miR-483-3p, hsa-miR-532-3p, hsa-miR-33b-5p, hsa-miR-216a-3p",,
hsa_circ_0040809,Intracranial aneurysm,Human,,"hsa-miR-519d-5p, hsa-miR-525-5p, hsa-miR-520a-5p, hsa-miR-515-5p, hsa-miR-519e-5p",,
hsa_circ_0040809,Intracranial aneurysm,Human,,"hsa-miR-519d-5p, hsa-miR-525-5p, hsa-miR-520a-5p, hsa-miR-515-5p, hsa-miR-519e-5p",,
hsa_circ_0056285,Intracranial aneurysm,Human,,"hsa-miR-708-5p, hsa-miR-28-5p, hsa-miR-539-3p, hsa-miR-485-3p, hsa-miR-328-3p",,
hsa_circ_0056285,Intracranial aneurysm,Human,,"hsa-miR-708-5p, hsa-miR-28-5p, hsa-miR-539-3p, hsa-miR-485-3p, hsa-miR-328-3p",,
hsa_circ_0007142,Intracranial aneurysm,Human,,"hsa-miR-128-3p, hsa-miR-216a-3p, hsa-miR-576-3p, hsa-miR-376a-3p, hsa-miR-376b-3p",,
circMARK3,Acute Stanford type A aortic dissection,Human,miR-1273g-3p,,Fgr,
hsa_circ_0001946,Non-small cell lung cancer,Human,,,,AGO2
circPRKCI,Lung adenocarcinoma,Human,"miR-589, miR-545",,,Ago2
circRAD23B,Esophageal cancer,Human,miR-5095,,"PARP2, AKT2",
hsa_circ_0001206,Prostate cancer,Human,miR-1285-5p,,Smad4,
hsa_circ_0001946,Ovarian cancer,Human,miR-135b-5p,,HIF1AN,
CDKN2B-AS1,Ulcerative colitis,Human,,,,Claudin-2
hsa_circ_0079662,Colorectal cancer,Human,hsa-mir-324-5p,,HOXA9,
circ_0001178,Hepatocellular carcinoma,Human,miR-382,,VEGFA,
circ_ARF3,Osteosarcoma,Human,miR-1299,,CDK6,
circ-ACACA,Non-small cell lung cancer,Human,miR‑1183,,,
hsa_circ_0000495,Head and neck squamous cell carcinoma,Human,miR-488-3p,,TROP2,
circMAN2B2,Hepatocellular carcinoma,Human,miR-217,,MAPK1,
circSKA3,Breast cancer,Human,,,,"Tks5, integrin β1"
hsa_circ_0025039,Non-small cell lung cancer,Human,miR-614,,FAM83D,
hsa_circ_0021087,Gastric cancer,Human,,"hsa-miR-184, hsa-miR-1276, hsa-miR-450b-3p",,
hsa_circ_0088732,Glioma,Human,miR-661,,RAB3D,
circCCDC66,Non-small cell lung cancer,Human,miR-33a-5p,,KPNA4,
circCBFB,Abdominal aortic aneurysm,Human,miR-28-5p,,"LYPD3, GRIA4",
circ_0017247,Melanoma,Human,miR-145,,,
hsa_circ_0008039,Breast cancer,Human,miR-515-5p,,CBX4,
hsa_circ_0012673,Lung cancer,Human,miR-320a,,LIMK1,
CircDDX17,Colorectal cancer,Human,miR-31-5p,,KANK1,
Circ_0009910,Hepatocellular carcinoma,Human,miR-335-5p,,ROCK1,
circRACGAP1,Gastric cancer,Human,miR-3657,,ATG7,
circRNA_0005075,Gastric cancer,Human,miR-431,,,
circXPO1,Lung adenocarcinoma,Human,,,,IGF2BP1
circ-0060428,Osteosarcoma,Human,miR-375,,RBPJ,
hsa_circRNA_102115,Nasopharyngeal carcinoma,Human,hsa-miR-335-3p,,MAPK1,
circARID1A,Autism spectrum disorder,Human,miR-204-3p,,,
circ_0000388,Cervical cancer,Human,miR-337-3p,,TCF12,
hsa_circ_0091581,Hepatocellular carcinoma,Human,miR-526b,,c-Myc,
hsa_circ_0002194,Inflammatory response,Human,miR-6873-3p,,MyD88,
hsa_circ_0049116,Epithelial ovarian cancer,Human,miR-199a-5p,,"RUNX1, Beclin1",ATG13
circPVT1,Osteosarcoma,Human,miR-205-5p,,c-FLIP,
hsa_circ_0000284,Gastric cancer,Human,miR-107,,BDNF,
circ_0058124,Thyroid cancer,Human,miR-940,,MAPK1,
hsa_circ_0003645,Hepatocellular carcinoma,Human,miR-1299,,,
hsa_circ_0005035,Lung cancer,Human,miR-1270,,VANGL2,
circPRKCI,Lipopolysaccharide,Human,miR-545,,ZEB2,
circHIPK3,Pancreatic cancer,Human,miR-330-5p,,RASSF1,
hsa_circ_0002082,Hepatocellular carcinoma,Human,,,,AUF1
circRNA-CDR1as,Osteoarthritis,Human,miR-641,,FGF-2,
hsa_circ_0003159,Gastric cancer,Human,miR-223-3p,,NDRG1,
circPCNX,Hepatocellular carcinoma,Human,miR-506,,PCNX,
hsa_circ_0006282,Gastric cancer,Human,miR-155,,FBXO22,
circTUBD1,Radiation-induced liver disease,Human,miR-146a-5p,,,
circNT5E,Non-small cell lung cancer,Human,miR-134,,,
circ_0079593,Glioma,Human,miR-499a-5p,,KPNA2,
hsa_circ_0087784,Breast cancer,Human,miR-487a,,HIF-1α,
circAP2A2,Infantile hemangioma,Human,miR-382-5p,,VEGFA,
hsa_circ_0000467,Gastric cancer,Human,miR-326-3p,,,
hsa_circ_0031242,Hepatocellular carcinoma,Human,miR-188-5p,,HK2,
hsa_circ_0076906,Osteoporosis,Human,miR-1305,,OGN,
hsa_circ_0001449,Cerebral ischemia,Human,"miR-124-3p, miR-32-5p",,Osbpl5,
hsa_circ_0011385,Thyroid cancer,Human,miR-361-3p,,,
hsa_circ_0073237,Glioma,Human,miR-1183,,,
hsa_circ_0000092,Hepatocellular carcinoma,Human,miR-338-3p,,HN1,
circ_PUM1,Endometrial cancer,Human,miR-136,,NOTCH3,
hsa_circ_0003028,Bladder cancer,Human,miR-570-3p,,KLF10,AGO2
circ-ZNF652,Renal carcinoma,Human,miR-205,,,
circRNA-0001283,Breast cancer,Human,miR-187,,HIPK3,
hsa_circ_0072088,Bladder cancer,Human,miR-511,,,
hsa_circ_0002346,Nasopharyngeal carcinoma,Human,,,,AGO2
hsa_circ_0014130,Non-small cell lung cancer,Human,miR-136-5p,,BCL2,
hsa_circ_0059354,Papillary thyroid carcinoma,Human,miR-1178,,TLR4,
hsa_circ_0006156,Papillary thyroid carcinoma,Human,miR-1178,,TLR4,AGO2
ciRS-7,Atherosclerosis,Human,miR-26a-5p,,,
hsa_circ_0084171,Bladder cancer,Human,miR-370-3p,,FNTA,
hsa_circ_0001313,Colon cancer,Human,miRNA-510-5p,,AKT2,
hsa_circ_0004771,Esophageal squamous cell carcinoma,Human,miR-339-5p,,CDC25A,
hsa_circ_0056836,Hepatocellular carcinoma,Human,miR-766-3p,,FOSL2,
hsa_circ_0001821,Epithelial ovarian cancer,Human,miR-149,,,
circRNA-0072309,Liver cancer,Human,miR-665,,,
circHIPK3,Colorectal cancer,Human,miR-1207-5p,,FMNL2,
hsa_circ_0136959,Cervical cancer,Human,miR-361-5p,,ITGB1,
circEIF3K,Salpingitis,Human,miR-139-5p,,EIF3K,
hsa_circ_0001772,Gastric cancer,Human,miR-149,,IL-6,
hsa_circ_0061656,Pressure ulcer,Human,miR-449a,,,
circRNA_0000140,Oral squamous cell carcinoma,Human,miR-31,,LATS2,
hsa_circ_0005360,Abdominal aortic aneurysm,Human,miR-181b,,,
hsa_circ_0002168,Abdominal aortic aneurysm,Human,miR-15a,,,
hsa_circ_0006916,Hepatocellular carcinoma,Human,miR-1322,,CXCL6,
circATRNL1,Oral squamous cell carcinoma,Human,miR-23a-3p,,PTEN,
hsa_circ_0077736,Gastric cancer,Human,miR-942-5p,,,
hsa_circ_0007874,Ovarian cancer,Human,miR-760,,,
circ-HIPK3,Cervical cancer,Human,miR-338-3p,,HIF-1α,
hsa_circRNA_104433,Gastric cancer,Human,miR-497-5p,,CDC25A,
hsa_circ_0005239,Non-small cell lung cancer,Human,miR-188-3p,,,
hsa_circ_0140388,Colorectal cancer,Human,hsa-miR-486-5p,,,
CircPRTM5,Colorectal cancer,Human,miR-377,,E2F3,
circHIAT1,Gastric cancer,Human,miR-21,,,
circMAN2B2,Gastric carcinoma,Human,miR-145,,,
circNR3C1,Age-related macular degeneration,Human,miR-382-5p,,PTEN,
circPVT1,Hepatocellular carcinoma,Human,miR-3666,,SIRT7,
circRNA_100290,Laryngeal squamous cell carcinoma,Human,miR-136-5p,,RAP2C,
hsa_circ_0051443,Hepatocellular carcinoma,Human,miR-331-3p,,BAK1,
circUBAP2,Esophageal squamous cell carcinoma,Human,miR-422a,,Rab10,
hsa_circ_0000598,Colorectal cancer,Human,miR-340,,BMI1,AGO2
hsa_circ_0070963,Liver fibrosis,Human,miR-223-3p,,LEMD3,
circ_0037655,Glioma,Human,miR-214,,,
circATXN7,Gastric cancer,Human,miR-4319,,ENTPD4,
circCCDC66,Abdominal aortic aneurysm,Human,miR-342-3p,,,
circRNA-SMG1.72,Hepatocellular carcinoma,Human,miR-141-3p,,GSN,SMG1
circ-ITCH,Cervical cancer,Human,miR-93-5p,,FOXK2,
hsa_circ_0047688,Glioma,Human,miR-125a-3p,,,
circPVT1,Lung adenocarcinoma,Human,miR-145-5p,,ABCC1,
circCTDP1,Nasopharyngeal carcinoma,Human,miR‑320b,,HOXA10,
circ_0000502,Hepatocellular carcinoma,Human,miR-124,,,
hsa_circ_0007623,Myocardial ischemia,Human,miR-297,,VEGFA,
hsa_circ_0005273,Colorectal cancer,Human,,,,"Ser38, Ser55, Ser82"
hsa_circ_0001546,Bladder urothelial carcinoma,Human,miR-762,,,
hsa_circ_0007255,Breast cancer,Human,miR-335-5p,,SIX2,
hsa_circ_0062389,Non-small cell lung cancer,Human,miR-103a-3p,,CCNE1,
hsa_circ_0061825,Breast cancer,Human,miR-326,,,
circABCC4,Lung adenocarcinoma,Human,miR-3186-3p,,TNRC6B,
hsa_circ_0000408,Lung squamous cell carcinoma,Human,miR-136-5p,,ROCK1,
cir-ITCH,Osteosarcoma,Human,miR-7,,EGFR,
hsa_circ_0004277,Colorectal cancer,Human,miR-512-5p,,PTMA,
hsa_circ_0023706,Radiation-induced liver disease,Human,miR-146a-5p,,RAC1,
hsa_circ_0006168,Esophageal cancer,Human,miR-384,,RBBP7,
hsa_circ_0091017,Bladder cancer,Human,microRNA-589-5p,,,
hsa_circRNA_002178,Breast cancer,Human,miR-328-3p,,COL1A1,
hsa_circ_0006732,Preeclampsia,Human,miR-144,,GRHL2,
circ_0084043,Melanoma,Human,miR-429,,TRIB2,
circ_0063517,Preeclampsia,Human,miR-31-5p,,ETBR,
hsa_circ_0025033,Papillary thyroid carcinoma,Human,miR-1179,,HMGB1,
hsa_circ_0001900,Colorectal cancer,Human,miR-328-5p,,E2F1,
hsa_circ_0023303,Laryngeal squamous cell carcinoma,Human,miR-646,,CCND1,HuR
hsa_circ_0090876,Acute myocardial infarction,Human,miR-125b,,SFRP5,AGO2
hsa_circ_0063809,Ovarian cancer,Human,miR-1252,,FOXR2,
hsa_circ_0039411,Hepatocellular carcinoma,Human,miR-136-5p,,MMP2,
circ-NOTCH1,Gastric cancer,Human,miR-449c-5p,,MYC,
circ-DLGAP4,Acute ischemic stroke,Human,miR-143,,,
hsa_circ_0057481,Laryngeal cancer,Human,miR-200c,,ZEB1,
circ-ABCB10,Non-small cell lung cancer,Human,miR-556-3p,,AK4,
hsa_circ_0007444,Gastric cancer,Human,miR-654-3p,,p21,
Circ_0009910,Chronic myeloid leukemia,Human,miR-34a-5p,,ULK1,
hsa_circ_0000190,Osteosarcoma,Human,miR-767-5p,,TET1,
hsa_circ_0001445,Cervical cancer,Human,miR‑432,,EGFR,
hsa_circ_0006990,Breast cancer,Human,miR-130a-5p,,,
hsa_circ_0000370,Acute myeloid leukemia,Human,miR-1299,,S100A7A,
circCDR1as,Non-small cell lung cancer,Human,miR-219a-5p,,SOX5,
circ_0014130,Non-small cell lung cancer,Human,miR-142-5p,,IGF-1,
circ_LARP4,Ovarian cancer,Human,miR-513b-5p,,LARP4,Ago2
circ-SOX4,Lung adenocarcinoma,Human,miR-1270,,PLAGL2,
hsa_circ_0000006,Osteosarcoma,Human,miR-578,,VEGF,
circ-EPB41L5,Glioblastoma,Human,miR-19a,,EPB41L5,
hsa_circ_0008259,Keloid,Human,miR-21–5p,,,
hsa_circ_0031594,Renal cell carcinoma,Human,miR-1299,,IRF7,
hsa_circ_0062019,Prostate cancer,Human,miR-497,,SEPT2,
hsa_circ_0005963,Colorectal cancer,Human,miR-122,,PKM2,
hsa_circ_0003204,Atherosclerosis,Human,miR-370-3p,,TGFβR2,
hsa_circ_0058147,Gastric cancer,Human,miR-182-5p,,,
hsa_circ_0026231,Esophageal squamous cell carcinoma,Human,miR-1323,,PTEN,
hsa_circ_0132980,Cervical cancer,Human,miR-1287-5p,,HOXA7,
hsa_circ_0001742,Glioma,Human,miR-338-3p,,SMO,
hsa_circ_0001667,Breast cancer,Human,miR-125a-5p,,TAZ,
hsa_circ_0128332,Lung adenocarcinoma,Human,miR-615-5p,,fibronectin 1,
circABCB10,Hepatocellular carcinoma,Human,miR-670-3p,,HMG20A,
circZNF652,Pneumonia,Human,miR-181a,,,
circMTO1,Rectal cancer,Human,miR-19b-3p,,,
circSMAD2,Prostate cancer,Human,miR-9,,,
hsa_circ_0006948,Esophageal squamous cell carcinoma,Human,miR-490-3p,,HMGA2,
circHIPK3,Hyperglycemia,Human,miR-192-5p,,FOXO1,
hsa_circ_0037251,Glioma,Human,miR-1229-3p,,mTOR,
circPDSS1,Bladder urothelial carcinoma,Human,miR-16,,,
hsa_circ_0004587,Inflammation,Human,miR-3607-5p,,,
circACAP2,Breast cancer,Human,"miR-29a-3p, miR-29b-3p",,COL5A1,
hsa_circ_0012384,Non-small cell lung cancer,Human,miR-302e,,cyclin D1,
hsa_circ_0001417,Glioma,Human,miR-195-5p,,ETV1,
hsa_circ_0004680,Colorectal cancer,Human,miR-613,,"WNT3, VEGFA",
circRNA_0016418,Skin melanoma,Human,miR-625,,YY1,
circ-TTBK2,Glioma,Human,miR-520b,,EZH2,
circ-0001801,Glioblastoma,Human,miR-628-5p,,HMGB3,
circ_0067934,Thyroid cancer,Human,miR-1304,,CXCR1,
hsa_circ_0015962,Dengue fever,Human,miR-4683,,,
hsa_circ_0006459,Dengue fever,Human,miR-133b,,,
hsa_circ_0000320,Triple negative breast cancer,Human,miR-421,,RASA1,
circRNA_100367,Esophageal squamous cell carcinoma,Human,miR-217,,,
circRNA-51217,Prostate cancer,Human,miRNA-646,,,
hsa_circ_0000267,Gastric cancer,Human,miR-503-5p,,HMGA2,
hsa_circ_0000147,Prostate cancer,Human,miR-767-5p,,,
hsa_circ_0002483,Non-small cell lung cancer,Human,miR-182-5p,,"GRB2, FOXO1, FOXO3",
circ_0001742,Tongue squamous cell carcinoma,Human,miR-431-5p,,ATF3,
circ_0091579,Liver cancer,Human,microRNA-490-3p,,,
circASAP1,Hepatocellular carcinoma,Human,"miR-326, miR-532-5p",,"MAPK1, CSF-1",
circCLK3,Cervical cancer,Human,miR-320a,,FoxM1,
circCDYL,Colon cancer,Human,miR-150-5p,,,
circITCH,Prostate cancer,Human,miR-17-5p,,HOXB13,
hsa_circ_0006117,Bladder cancer,Human,miR-636,,KLF9,
hsa_circ_0043949,Glioblastoma,Human,,"hsa-miR-7161-3p, hsa-miR-6783-3p, hsa-miR-1257, hsa-miR-140-3p, hsa-miR-5195-3p",,
hsa_circ_0060467,Cervical cancer,Human,miR-361-3p,,,
hsa_circ_0006260,Bladder cancer,Human,miR-653,,March1,
hsa_circ_0014130,Lung adenocarcinoma,Human,hsa-miR-566,,TWIST1,
hsa_circ_0084003,Non-small cell lung cancer,Human,miR-381-3p,,,
hsa_circ_0000291,Gastric cancer,Human,miR-183,,ITGB1,
hsa_circ_0063526,Gastric cancer,Human,miR-877-3p,,VEGFA,
hsa_circ_0085533,Melanoma,Human,miR-1236,,LDHA,
circ-ADAM9,Pancreatic cancer,Human,miR-217,,PRSS3,
hsa_circ_0001038,Cervical cancer,Human,miR-337-3p,,"CNNM3, MACC1",
hsa_circ_0046600,Hepatocellular carcinoma,Human,miR-640,,,
circ-Foxo3,Bladder cancer,Human,miR-191,,,
circ_KATNAL1,Prostate cancer,Human,miR-145-3p,,WISP1,
hsa_circ_0051079,Osteosarcoma,Human,miR-26a-5p,,TGF-β1,
circ-PVT1,Gastric cancer,Human,miR-124-3p,,ZEB1,
hsa_circ_0091702,Pneumonia,Human,miR-142-3p,,,
hsa_circ_0000285,Osteosarcoma,Human,hsa-miRNA-599,,TGFB2,
hsa_circ_0001386,Clear cell renal cell carcinoma,Human,miR-296-5p,,SOX12,
hsa_circ_0000654,Esophageal squamous cell carcinoma,Human,miR-149-5p,,,
hsa_circ_0137439,Bladder cancer,Human,miR-142-5p,,,
circ-TFCP2L1,Triple negative breast cancer,Human,miR-7,,PAK1,
hsa_circ_0003855,Gastric cancer,Human,miR-145-5p,,,
hsa_circ_0005692,Hepatocellular carcinoma,Human,miRNA-328-5p,,DAB2IP,
hsa_circ_0000615,Gastric cancer,Human,miRNA-145-5p,,,
hsa_circ_0067934,Gastric cancer,Human,microRNA-545,,,
circ-0004136,Acute myeloid leukemia,Human,miR-142,,,
hsa_circ_0000515,Cervical cancer,Human,miR-326,,,
hsa_circ_0000013,Lung adenocarcinoma,Human,miR-22-3p,,ENO1,
hsa_circ_0060180,Parkinson's disease,Human,miR-134-5p,,CREB,
hsa_circ_0001495,Cellular senescence,Human,miR-449a,,CCNE2,
circLMTK2,Prostate cancer,Human,miR-183,,,
circLMTK2,Prostate cancer,Human,miR-183,,,
circ-TCF4.85,Hepatocellular carcinoma,Human,miR-486-5p,,,
hsa_circ_0002623,Bladder cancer,Human,miR-1184,,IGFBP2,
circ_0001658,Osteosarcoma,Human,miR-382-5p,,YB-1,
circ_0071662,Bladder cancer,Human,miR-146b-3p,,"HPGD, NF2",
circMMP9,Osteosarcoma,Human,miR-1265,,CHI3L1,
hsa_circ_0000043,Ovarian cancer,Human,"miR-615-5p, miR-6753-5p",,,
circRNA_103516,Inflammatory bowel disease,Human,hsa-miR-19b-1-5p,,,
hsa_circ_0001178,Colorectal cancer,Human,"miR-382, miR-587, miR-616",,ZEB1,
hsa_circ_0072088,Bladder cancer,Human,miR-377,,ZEB2,
hsa_circ_0005100,Colorectal cancer,Human,miR-1182,,,
circ_0000003,Non-small cell lung cancer,Human,miR-338-3p,,,
hsa_circ_0030018,Esophageal carcinoma,Human,miR-599,,ENAH,
circAtp9b,Pneumonia,Human,miR-27a,,,
hsa_circ_0006404,Prostate cancer,Human,miR-29a-3p,,SLC25A15,
hsa_circ_0125597,Breast cancer,Human,miR-660,,SRSF6,Ago2
hsa_circ_0084927,Small cell lung cancer,Human,miR-93-5p,,,
circ_0102049,Osteosarcoma,Human,miR-1304-5p,,MDM2,
hsa_circ_0001725,Gastric cancer,Human,miR-150-5p,,c-Myc,
circZNF609,Glioma,Human,miR-134-5p,,BTG-2,
hsa_circ_0004798,Gastric cancer,Human,miR-130a-3p,,,
hsa_circ_0049027,Gastric cancer,Human,,,,CNBP
circ-ASH2L,Pancreatic ductal adenocarcinoma,Human,miR-34a,,Notch1,
hsa_circ_0076979,Prostate cancer,Human,miR-17-5p,,,
hsa_circ_0132813,Neuroblastoma,Human,,,,EWSR1
hsa_circ_0075341,Cervical cancer,Human,miR-149-5p,,AURKA,
hsa_circ_0001361,Bladder cancer,Human,miR-491-5p,,MMP9,
hsa_circ_0058514,Cervical cancer,Human,miR-370-3p,,RAF1,
circEPSTI1,Osteosarcoma,Human,miR-892b,,MCL1,
circ-PRMT5,Gastric cancer,Human,"miR-145, miR-1304",,MYC,
circ-FOXP1,Hepatocellular carcinoma,Human,"miR-875-3p, miR-421",,SOX9,
hsa_circ_0008450,Hepatocellular carcinoma,Human,miR-214-3p,,EZH2,
circRPMS1,Nasopharyngeal carcinoma,Human,"miR-203, miR-31, miR-451",,,
circ_0005273,Papillary thyroid carcinoma,Human,miR-1138,,SOX2,
circANKRD36,Bedsore,Human,miR-15,,MyD88,
circNRIP1,Renal cell carcinoma,Human,miR-505,,,
hsa_circ_0092306,Gastric cancer,Human,miR-197-3p,,PRKCB,
circ_0074027,Non-small cell lung cancer,Human,miR-185-3p,,,
circ-Foxo3,Esophageal squamous cell carcinoma,Human,miR-23a,,PTEN,
cZNF292,Esophageal cancer,Human,miR-206,,,
hsa_circ_0017252,Clear cell renal cell carcinoma,Human,miR-296-3p,,,AGO2
hsa_circ_0082846,Glioma,Human,miR-1265,,,
hsa_circ_0000211,Lung adenocarcinoma,Human,hsa-miR-622,,,
hsa_circ_0001546,Gastric cancer,Human,miR-421,,,
hsa_circ_0009112,Osteosarcoma,Human,miR-19b,,SOCS3,
hsa_circ_0001387,Ovarian cancer,Human,"miR-1182, miR-145",,"MUC1, hTERT",
circMYO10,Osteosarcoma,Human,miR-370-3p,,RUVBL1,
hsa_circ_0000080,Glioma,Human,miR-194-5p,,,
hsa_circ_0023919,Bladder cancer,Human,miR-1265,,,
hsa_circ_0067835,Colorectal cancer,Human,miR-1236-3p,,HOXB7,
circ_0076305,Non-small cell lung cancer,Human,miR-296-5p,,STAT3,
hsa_circ_0000594,Hepatoblastoma,Human,miR-217,,SIRT1,
circC3P1,Kidney cancer,Human,miR-21,,PTEN,
hsa_circ_0074026,Glioma,Human,miR-1304,,ERBB4,
circ-LARP4,Osteosarcoma,Human,miR-424,,,
hsa_circ_0013549,Ovarian cancer,Human,miR-302e,,VEGFA,
circ-FAM53B,Ovarian cancer,Human,"miR‑646, miR‑647",,"VAMP2, MDM2",
circFNDC3B,Renal carcinoma,Human,miR-99a,,,
hsa_circ_0001821,Esophageal carcinoma,Human,miR-4663,,,
circDNMT3B,Diabetic retinopathy,Human,miR-20b-5p,,BAMBI,
hsa_circ_0127621,Diffuse large B-cell lymphoma,Human,miR-888,,,
hsa_circ_0001681,Renal cell carcinoma,Human,miR-27a-3p,,,
hsa_circ_0044516,Prostate cancer,Human,miR-29a-3p,,,
hsa-circ-0000994,Scar,Human,miR-21,,,
circ0005276,Prostate cancer,Human,,,,FUS
circAF4,Leukemia,Human,miR-128-3p,,,AGO2
hsa_circ_0008234,Gallbladder cancer,Human,miR-370,,PKLR,PTBP1
hsa_circ_0001095,Ovarian cancer,Human,miR-9,,"BRCA1, DNAJB6, KLF4",
circNSUN2,Colorectal cancer,Human,,,,"YTHDC1, IGF2BP2"
circ_PTN,Glioma,Human,miR-122,,SOX6,
circ_0026344,Colorectal cancer,Human,miR-183,,,
hsa_circ_0070269,Hepatocellular carcinoma,Human,miR-182,,NPTX1,
hsa_circ_0102722,Glioma,Human,miR-145-5p,,,
circ_0000218,Colorectal cancer,Human,miR-139-3p,,RAB1A,
circHIPK3,Non-small cell lung cancer,Human,miR-149,,FOXM1,
hsa_circ_0021977,Colorectal cancer,Human,miR-10b-5p,,"p21, p53",
hsa_circ_0016070,Pulmonary arterial hypertension,Human,miR-942,,CCND1,
hsa_circ_0001946,Nasopharyngeal carcinoma,Human,miR-7-5p,,E2F3,
hsa_circ_0001946,Periodontitis,Human,miR-7,,,
hsa_circ_0051470,Intervertebral disc degeneration,Human,miR-182-5p,,SIRT1,
hsa_circ_0001946,Hepatocellular carcinoma,Human,miR-1270,,,
hsa_circ_0020732,Lung adenocarcinoma,Human,miR-665,,ZEB1,
hsa_circ_0002185,Oral squamous cell carcinoma,Human,miR-526b-5p,,c-Myc,
hsa_circ_0006848,Gastric cancer,Human,hsa_miR-329-5p,,RPL6,
